chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
0.14#-0.084#0.083#0.983,-0.303#0.042#-0.373#0.876,-0.644#-0.027#-0.252#0.722,-0.145#0.056#0.488#0.859,-0.542#0.204#0.489#0.652,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.127#-0.072#0.075#0.986,-0.303#0.042#-0.373#0.876,-0.644#-0.027#-0.252#0.722,-0.195#0.03#0.501#0.843,-0.611#0.168#0.457#0.624,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.127#-0.072#0.075#0.986,-0.318#0.055#-0.388#0.863,-0.658#-0.051#-0.292#0.692,-0.195#0.03#0.501#0.843,-0.611#0.168#0.457#0.624,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.116#-0.06#0.073#0.989,-0.318#0.055#-0.388#0.863,-0.658#-0.051#-0.292#0.692,-0.245#-0.002#0.5#0.831,-0.664#0.103#0.42#0.61,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.116#-0.06#0.073#0.989,-0.325#0.094#-0.395#0.854,-0.666#-0.033#-0.337#0.665,-0.245#-0.002#0.5#0.831,-0.664#0.103#0.42#0.61,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.108#-0.055#0.068#0.99,-0.325#0.094#-0.395#0.854,-0.666#-0.033#-0.337#0.665,-0.29#-0.032#0.485#0.825,-0.712#0.035#0.37#0.595,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.108#-0.055#0.068#0.99,-0.332#0.129#-0.394#0.847,-0.723#-0.05#-0.313#0.613,-0.29#-0.032#0.485#0.825,-0.712#0.035#0.37#0.595,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.103#-0.056#0.065#0.991,-0.332#0.129#-0.394#0.847,-0.723#-0.05#-0.313#0.613,-0.321#-0.068#0.475#0.817,-0.768#-0.009#0.288#0.572,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.103#-0.056#0.065#0.991,-0.336#0.165#-0.39#0.841,-0.785#-0.015#-0.245#0.569,-0.321#-0.068#0.475#0.817,-0.81#-0.08#0.217#0.54,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.096#-0.056#0.062#0.992,-0.336#0.165#-0.39#0.841,-0.785#-0.015#-0.245#0.569,-0.337#-0.122#0.467#0.809,-0.81#-0.08#0.217#0.54,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
