chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
-0.33#0.592#-0.216#-0.703,0.111#0.363#-0.144#-0.914,0.132#0.208#-0.039#-0.968,-0.071#0.804#0.185#-0.561,-0.025#-0.618#-0.266#0.739,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.33#0.592#-0.216#-0.703,0.111#0.363#-0.144#-0.914,0.132#0.208#-0.039#-0.968,-0.071#0.804#0.185#-0.561,-0.025#-0.618#-0.266#0.739,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.33#0.591#-0.214#-0.704,0.111#0.362#-0.144#-0.914,0.133#0.206#-0.039#-0.969,-0.071#0.802#0.186#-0.563,-0.023#-0.62#-0.265#0.738,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.33#0.591#-0.214#-0.704,0.111#0.362#-0.144#-0.914,0.133#0.206#-0.039#-0.969,-0.071#0.802#0.186#-0.563,-0.023#-0.62#-0.265#0.738,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.33#0.591#-0.214#-0.704,0.111#0.362#-0.144#-0.914,0.133#0.206#-0.039#-0.969,-0.071#0.802#0.186#-0.563,-0.023#-0.62#-0.265#0.738,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.331#0.59#-0.213#-0.705,0.111#0.361#-0.143#-0.915,0.13#0.205#-0.039#-0.969,-0.072#0.801#0.187#-0.564,-0.022#-0.621#-0.267#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.331#0.59#-0.213#-0.705,0.111#0.361#-0.143#-0.915,0.13#0.205#-0.039#-0.969,-0.072#0.801#0.187#-0.564,-0.022#-0.621#-0.267#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.331#0.59#-0.213#-0.705,0.111#0.361#-0.143#-0.915,0.13#0.205#-0.039#-0.969,-0.072#0.801#0.187#-0.564,-0.022#-0.621#-0.267#0.737,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.33#0.59#-0.211#-0.706,0.111#0.36#-0.143#-0.915,0.129#0.201#-0.039#-0.97,-0.07#0.801#0.188#-0.564,-0.021#-0.622#-0.267#0.736,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.33#0.59#-0.211#-0.706,0.111#0.36#-0.143#-0.915,0.129#0.201#-0.039#-0.97,-0.07#0.801#0.188#-0.564,-0.021#-0.622#-0.267#0.736,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.33#0.59#-0.211#-0.706,0.111#0.36#-0.143#-0.915,0.129#0.201#-0.039#-0.97,-0.07#0.801#0.188#-0.564,-0.021#-0.622#-0.267#0.736,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.333#0.591#-0.212#-0.703,0.111#0.36#-0.145#-0.915,0.13#0.204#-0.048#-0.969,-0.071#0.8#0.189#-0.566,-0.02#-0.623#-0.266#0.735,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.333#0.591#-0.212#-0.703,0.111#0.36#-0.145#-0.915,0.13#0.204#-0.048#-0.969,-0.071#0.8#0.189#-0.566,-0.02#-0.623#-0.266#0.735,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.333#0.591#-0.212#-0.703,0.111#0.36#-0.145#-0.915,0.13#0.204#-0.048#-0.969,-0.071#0.8#0.189#-0.566,-0.016#-0.624#-0.261#0.736,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.336#0.591#-0.213#-0.702,0.111#0.359#-0.147#-0.915,0.123#0.207#-0.046#-0.97,-0.072#0.799#0.189#-0.566,-0.016#-0.624#-0.261#0.736,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.336#0.591#-0.213#-0.702,0.111#0.359#-0.147#-0.915,0.123#0.207#-0.046#-0.97,-0.072#0.799#0.189#-0.566,-0.016#-0.624#-0.261#0.736,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
